,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle
950.0,697.2100414257661,613.6552890808629,253.5171771190875,542.0,741.6230844683478,615.5690107775839,207.6397561642765,544.0,682.4653270307153,575.044273802854,119.56485091493462,459.0,592.5887707753507,491.8935668611344,67.30421044630803,334.0,441.9628793027626,399.20307274980706,26.59770107095176,249.0,301.7219777429233,268.2245194340579,14.66151094762853,145.0,201.53001130154385,186.20123578829987,0.5934576065429678,80.0,101.1491904724354,113.38549467875444,0.2560579631110965,40.0,52.259960427459,71.66986516479197,25.0,36.72333052571091,46.53933156849255,7.0,12.270936559936732,22.692153384372606,3.0,5.437347038668625,8.384698446572916,1.0
1000.0,699.4713622557167,617.3171172226482,255.55333022822543,542.0,743.3024082860421,620.9183786108523,209.40075534394302,544.0,687.672531629393,580.1632562681687,122.8472011428877,459.0,597.7994853569944,498.9255926188786,68.22995613931103,334.0,450.3261530949519,408.2636255852499,26.790557610123273,249.0,302.90467475319315,272.2130975149283,14.969620448361006,145.0,208.5105909570306,189.7796479532451,0.6457298824400216,80.0,101.82918532598997,115.22481374885061,0.2786707334688903,40.0,55.09014421153159,73.32029278716101,25.0,37.15519616903302,47.46374329437242,7.0,12.565817432311846,22.85658382118511,3.0,6.119473950429945,8.55889628487811,1.0
1050.0,704.7049377971683,619.4902034346599,257.7617783176827,542.0,743.810486556889,622.1649963159653,213.0264158660369,544.0,690.6349078993501,582.2919874536641,125.04606441858856,459.0,604.5785442852967,501.54361597876493,69.01703881957478,334.0,454.9252369252369,413.0444207645794,26.983414149294784,249.0,305.8872694024633,275.8874474228366,15.177755904137609,145.0,213.06507929038634,192.95420122610892,0.6980021583370755,80.0,103.31907958483549,118.60775828049775,0.3012835038266842,40.0,55.63647276626848,75.99384014423077,25.0,39.08106069346208,48.58843838340432,7.0,12.860698304686958,23.0458789008065,3.0,7.071997370691658,8.733094123183303,1.0
1100.0,706.2658118119635,623.436676144575,264.70341072880166,542.0,746.4582082264459,624.0219442157631,214.21497692856744,544.0,695.4645143277123,585.0377905540089,125.27661728955155,459.0,611.7758959238882,508.26855566080474,72.11704338107069,334.0,459.18417732670827,416.145580529772,27.775496422608615,249.0,311.17100605813084,281.502533793578,15.374955676991972,145.0,213.63197302825887,196.05603737415785,0.7502744342341293,80.0,104.16655182680448,120.66492707238623,0.323896274184478,40.0,56.74388562620089,80.77008284731079,25.0,40.416371445783874,49.50346539191009,7.0,14.136519630586871,23.404867912026656,3.0,7.16863813672073,8.907291961488498,1.0
1150.0,709.1530722548735,626.6400363393652,265.655906312916,542.0,750.0957127233966,627.3044571688382,214.75839606445672,544.0,697.8058073575619,589.0400349656367,125.50717016051456,459.0,614.7580652525011,513.9123989392665,72.66861521266352,334.0,467.2067951932221,418.74298352392543,28.758925984434484,249.0,314.87603322460234,288.13354163836436,15.572155449846335,145.0,214.53836700437623,198.2226644501341,0.8025467101311832,80.0,107.07274861899243,121.9872609640418,0.34650904454227177,40.0,59.207434165750485,81.95124550035997,25.0,41.09563847717095,50.297639182575786,7.0,14.44806554025377,23.763856923246816,3.0,7.265278902749802,9.508257382041188,1.0
1200.0,709.5792208846121,628.9361090321818,267.15308391929074,542.0,751.2692718287511,629.5631793877432,217.00735242695362,544.0,702.4346050297402,593.7535045562797,125.73772303147756,459.0,620.6983599535757,521.3332291316916,73.31482636722811,334.0,471.274515871594,421.0101970962247,29.225226110751578,249.0,319.28199869791666,290.5401849017458,15.769355222700698,145.0,217.9738468854018,200.44331023819717,0.854818986028237,80.0,110.2510172611053,123.81729982320346,0.3691218149000656,40.0,59.92223094776888,83.07698118609967,25.0,41.407164956921726,50.9123431536895,7.0,14.75961144992067,24.16023581810408,3.0,7.361919668778874,10.0531590408778,1.0
1250.0,710.0481288409352,629.5697674755439,267.6748407724447,542.0,754.4030718399786,634.2596251934208,217.48477063877996,544.0,704.0005050318416,599.1261139177382,125.96827590244057,459.0,631.0051857634128,524.0478260869565,74.08224746477623,334.0,472.7620137954721,421.95430437779044,29.51910192812957,249.0,323.09695774220467,294.64651511668706,15.966554995555061,145.0,219.4378535659428,201.97933756576913,0.907091261925291,80.0,115.93838862559242,127.0389468544408,0.3917345852578594,40.0,62.67628694395801,83.70081131423159,25.0,41.71869143667251,51.77368649472703,7.0,15.78813330862159,24.628488171369387,3.0,7.458560434807946,10.150270934121103,1.0
1300.0,711.2877511511338,631.3953204574201,268.08199135445614,542.0,757.54800696599,637.6571428571428,217.96218885060634,544.0,709.0275724586089,603.6524584258871,128.97576599521494,459.0,634.0517357783779,525.7122589489212,74.70912802994825,334.0,473.93308797340615,424.40948154903884,29.81297774550756,249.0,326.87008954255117,295.9713289223983,17.022620624274296,145.0,222.7654239407698,208.8252841307703,0.9593635378223448,80.0,119.66739412004755,127.91613983689693,0.4143473556156532,40.0,64.43670356387466,84.35653640031312,25.0,42.32161735540535,52.177543782507826,7.0,16.553876984738707,25.05643553725567,3.0,7.555201200837018,10.247382827364406,1.0
1350.0,711.671010143825,632.9666012018863,268.29959088525715,542.0,758.9497494214071,639.3760530587363,219.84461427064804,544.0,712.8067127434393,605.8188699911454,129.97741509384207,459.0,637.5885462214139,526.9818631407932,76.29721116070236,334.0,480.76000478316325,427.3150157679962,30.350694885959584,249.0,330.4514596972457,301.2001502122898,17.068804032388822,145.0,227.21859179307194,210.58848204101585,1.0148946176843383,80.0,121.35799539869333,129.664587516073,0.4369601259734471,40.0,66.35907748381827,85.45171588188347,25.0,43.56148490279884,52.41452184930833,7.0,17.16885745566609,25.329599996798855,3.0,7.65184196686609,10.344494720607708,1.0
1400.0,712.1827085433467,635.2484061576738,268.51719041605816,542.0,761.9407182676326,643.6449597488735,220.45579930926922,544.0,715.3267077255722,610.01004784689,130.13920547834653,459.0,638.7248345877518,530.914471570832,78.65846162683823,334.0,484.46204163803986,431.462963332336,31.048381745078224,249.0,332.80316320721033,303.3073266839059,17.114987440503345,145.0,229.8776189293437,212.2539623150559,1.081806617459556,80.0,122.18394032714406,130.50816396108152,0.4595728963312409,40.0,68.88592541017665,86.35359262265975,25.0,44.38154678470429,52.65149991610884,7.0,17.86089897815744,25.602764456342037,3.0,7.748482732895162,10.441606613851011,1.0
